imagen,clase,tecnica,psnr,ssim,entropia
cc608bc4_L_MLO_389e63a5.png,Alto_Riesgo,HE,1.38,0.033,1.03
cd03d5b7_L_CC_1d605d35.png,Alto_Riesgo,HE,0.81,0.014,0.55
cc764da4_R_CC_4785b56f.png,Alto_Riesgo,HE,1.1,0.026,0.77
cf399797_R_CC_67eba147.png,Alto_Riesgo,HE,1.71,0.052,1.32
cd03d5b7_L_MLO_baf51168.png,Alto_Riesgo,HE,1.25,0.028,0.88
cf399797_R_MLO_d91825b1.png,Alto_Riesgo,HE,2.91,0.136,2.17
cf70a801_L_MLO_48d67e59.png,Alto_Riesgo,HE,3.97,0.23,2.85
cf70a801_L_CC_da860c7c.png,Alto_Riesgo,HE,2.71,0.117,1.93
cfd8cbfe_L_MLO_0171ab32.png,Alto_Riesgo,HE,2.18,0.08,1.53
cfd8cbfe_L_CC_b9e991c8.png,Alto_Riesgo,HE,1.46,0.04,1.03
d010dbb9_L_CC_2530e738.png,Alto_Riesgo,HE,1.4,0.038,0.99
d010dbb9_L_MLO_73d20cbf.png,Alto_Riesgo,HE,2.21,0.084,1.56
d0538008_R_CC_71e545fd.png,Alto_Riesgo,HE,1.6,0.045,1.14
d0538008_R_MLO_a9f3f9e0.png,Alto_Riesgo,HE,2.79,0.123,2.03
d06d1dcd_R_MLO_f50d5315.png,Alto_Riesgo,HE,2.49,0.101,1.78
d06d1dcd_R_CC_9edf7793.png,Alto_Riesgo,HE,1.54,0.045,1.1
d18ff521_R_CC_9cf1b84d.png,Alto_Riesgo,HE,0.92,0.019,0.63
d18ff521_R_MLO_73903959.png,Alto_Riesgo,HE,1.81,0.058,1.28
d2df9328_L_MLO_17127fbc.png,Alto_Riesgo,HE,2.76,0.123,1.95
d2df9328_L_CC_d3608e08.png,Alto_Riesgo,HE,2.1,0.077,1.49
d539fcf5_R_CC_59770d16.png,Alto_Riesgo,HE,2.24,0.083,1.6
d539fcf5_R_MLO_6fa17862.png,Alto_Riesgo,HE,4.28,0.258,3.04
d539fcf5_L_MLO_c8ea81f4.png,Alto_Riesgo,HE,3.71,0.206,2.69
d539fcf5_L_CC_e1f7f813.png,Alto_Riesgo,HE,2.03,0.071,1.46
d6c5932b_R_MLO_cac4e653.png,Alto_Riesgo,HE,2.55,0.106,1.78
d6c5932b_R_CC_7e279279.png,Alto_Riesgo,HE,1.92,0.064,1.35
d746c5e8_R_CC_01df962b.png,Alto_Riesgo,HE,2.55,0.107,1.8
d7554087_L_CC_f15e4d29.png,Alto_Riesgo,HE,3.56,0.193,2.48
d7554087_L_MLO_c1edef45.png,Alto_Riesgo,HE,4.78,0.309,3.21
d746c5e8_R_MLO_0c401b1b.png,Alto_Riesgo,HE,2.8,0.127,2.0
d8d0bc6e_R_MLO_53c092e6.png,Alto_Riesgo,HE,2.22,0.084,1.56
d8d0bc6e_R_CC_96eb9c4b.png,Alto_Riesgo,HE,1.8,0.058,1.28
d8d9c121_R_MLO_660d6f19.png,Alto_Riesgo,HE,2.37,0.095,1.67
d8d9c121_R_CC_a2ce545b.png,Alto_Riesgo,HE,1.4,0.038,0.99
da6ce640_R_CC_5a5b4728.png,Alto_Riesgo,HE,1.8,0.058,1.28
da6ce640_R_MLO_f60e4a6a.png,Alto_Riesgo,HE,3.0,0.142,2.15
dabe91ba_L_CC_0d08356a.png,Alto_Riesgo,HE,1.3,0.033,0.92
dabe91ba_L_MLO_185d7263.png,Alto_Riesgo,HE,2.06,0.074,1.46
dae4258d_R_CC_b2578026.png,Alto_Riesgo,HE,2.0,0.07,1.42
dae4258d_R_MLO_80ff81c8.png,Alto_Riesgo,HE,2.73,0.121,1.98
db3c5cf7_R_CC_de8b49de.png,Alto_Riesgo,HE,0.96,0.021,0.66
db3c5cf7_R_MLO_f3b7da5f.png,Alto_Riesgo,HE,2.36,0.094,1.67
dd6333df_L_MLO_bad7f350.png,Alto_Riesgo,HE,2.11,0.077,1.49
dd6333df_L_CC_9e8efd5d.png,Alto_Riesgo,HE,1.07,0.024,0.74
dd98abaf_R_CC_c8039851.png,Alto_Riesgo,HE,1.85,0.061,1.32
dd98abaf_R_MLO_57b04a19.png,Alto_Riesgo,HE,2.56,0.11,1.81
de585e55_R_CC_6ffb4582.png,Alto_Riesgo,HE,1.1,0.026,0.77
de585e55_R_MLO_27d9bf4e.png,Alto_Riesgo,HE,1.6,0.047,1.13
df7c81d4_L_MLO_7be2e5f9.png,Alto_Riesgo,HE,3.6,0.195,2.65
df7c81d4_L_CC_db70c657.png,Alto_Riesgo,HE,2.57,0.108,1.96
e22442ff_L_CC_467ef88a.png,Alto_Riesgo,HE,1.4,0.038,0.99
e22442ff_L_MLO_d360a682.png,Alto_Riesgo,HE,1.89,0.064,1.35
e233b75f_L_MLO_a869427e.png,Alto_Riesgo,HE,2.58,0.11,1.81
e233b75f_L_CC_8c799782.png,Alto_Riesgo,HE,1.8,0.058,1.28
e2fc4c70_L_CC_5c685c5c.png,Alto_Riesgo,HE,1.15,0.028,0.81
e2fc4c70_L_MLO_3576dec9.png,Alto_Riesgo,HE,2.05,0.074,1.46
e315902c_L_MLO_949f01bd.png,Alto_Riesgo,HE,1.9,0.064,1.35
e315902c_L_CC_a763d5df.png,Alto_Riesgo,HE,1.11,0.026,0.77
e39602b1_L_CC_15ad456e.png,Alto_Riesgo,HE,1.45,0.04,1.03
e39602b1_L_MLO_3c534882.png,Alto_Riesgo,HE,2.43,0.099,1.7
e40d99a6_R_CC_49ef5e81.png,Alto_Riesgo,HE,1.35,0.033,0.96
e480e873_R_CC_2a04163b.png,Alto_Riesgo,HE,1.26,0.032,0.88
e40d99a6_R_MLO_7106e773.png,Alto_Riesgo,HE,2.23,0.081,1.64
e49d8e95_L_CC_019b9f63.png,Alto_Riesgo,HE,1.31,0.034,0.92
e480e873_R_MLO_cc646314.png,Alto_Riesgo,HE,2.49,0.102,1.74
e49d8e95_L_MLO_c7c60c6a.png,Alto_Riesgo,HE,2.43,0.099,1.71
e4c3b57b_L_MLO_6caa0cd5.png,Alto_Riesgo,HE,2.99,0.144,2.26
e4c3b57b_L_CC_bce1addb.png,Alto_Riesgo,HE,2.12,0.078,1.53
e6a3e149_R_CC_c0e56a69.png,Alto_Riesgo,HE,1.54,0.042,1.1
e6f4f71e_L_CC_aca3b43e.png,Alto_Riesgo,HE,1.59,0.043,1.16
e6a3e149_R_MLO_de093899.png,Alto_Riesgo,HE,2.5,0.104,1.89
e6fec43f_L_CC_4b08c4f1.png,Alto_Riesgo,HE,1.49,0.039,1.06
e6f4f71e_L_MLO_deacf62d.png,Alto_Riesgo,HE,1.41,0.038,0.99
e9781ad8_R_MLO_15fc491b.png,Alto_Riesgo,HE,2.94,0.139,2.2
e9781ad8_R_CC_d9879334.png,Alto_Riesgo,HE,1.7,0.05,1.21
e6fec43f_L_MLO_c3ebb2a7.png,Alto_Riesgo,HE,2.36,0.093,1.78
e9be27a6_L_CC_20e22b55.png,Alto_Riesgo,HE,1.25,0.032,0.88
e9be27a6_L_MLO_df17a9f3.png,Alto_Riesgo,HE,2.05,0.074,1.45
c800df6e_L_MLO_44d35d15.png,Alto_Riesgo,Clahe,25.57,0.942,2.04
c800df6e_L_CC_33755fea.png,Alto_Riesgo,Clahe,28.76,0.962,1.51
c82df7b0_R_CC_3527d9a4.png,Alto_Riesgo,Clahe,28.15,0.953,1.38
c82df7b0_R_MLO_437a5cf5.png,Alto_Riesgo,Clahe,25.85,0.946,2.17
c8be7233_R_CC_0d58856b.png,Alto_Riesgo,Clahe,29.59,0.959,1.09
c8be7233_R_MLO_c440e178.png,Alto_Riesgo,Clahe,28.42,0.955,1.42
c947855a_R_CC_c2a17760.png,Alto_Riesgo,Clahe,27.44,0.958,1.92
c9881e07_L_MLO_1bc0bb50.png,Alto_Riesgo,Clahe,26.39,0.956,2.13
c947855a_R_MLO_862e22b0.png,Alto_Riesgo,Clahe,23.56,0.914,3.15
c9881e07_L_CC_45b1879e.png,Alto_Riesgo,Clahe,28.0,0.954,1.5
c9920022_L_CC_e2a9f68e.png,Alto_Riesgo,Clahe,25.1,0.916,2.43
c9920022_L_MLO_8470557f.png,Alto_Riesgo,Clahe,23.77,0.917,3.07
c9bf7a8a_R_CC_6db25afb.png,Alto_Riesgo,Clahe,26.97,0.947,1.45
c9bf7a8a_R_MLO_b934cdb3.png,Alto_Riesgo,Clahe,26.9,0.96,2.12
cae2f2ba_L_MLO_63f4053d.png,Alto_Riesgo,Clahe,27.24,0.957,2.25
cae2f2ba_L_CC_8c91dd4b.png,Alto_Riesgo,Clahe,31.05,0.972,1.54
cbc4bb64_L_CC_f51e0c5d.png,Alto_Riesgo,Clahe,30.39,0.959,1.03
cbc4bb64_L_MLO_31573a03.png,Alto_Riesgo,Clahe,27.3,0.95,1.54
cc608bc4_L_CC_08022073.png,Alto_Riesgo,Clahe,34.54,0.988,1.04
cbefbe01_L_MLO_f978cb9d.png,Alto_Riesgo,Clahe,23.35,0.902,2.84
cbefbe01_L_CC_6ec73d7e.png,Alto_Riesgo,Clahe,24.58,0.89,2.31
cc764da4_R_MLO_472a2fe6.png,Alto_Riesgo,Clahe,26.8,0.956,1.93
cc608bc4_L_MLO_389e63a5.png,Alto_Riesgo,Clahe,29.49,0.942,1.39
cd03d5b7_L_CC_1d605d35.png,Alto_Riesgo,Clahe,30.16,0.963,0.86
cc764da4_R_CC_4785b56f.png,Alto_Riesgo,Clahe,30.56,0.962,1.03
cf399797_R_CC_67eba147.png,Alto_Riesgo,Clahe,27.49,0.92,1.7
cd03d5b7_L_MLO_baf51168.png,Alto_Riesgo,Clahe,32.33,0.982,1.35
cf399797_R_MLO_d91825b1.png,Alto_Riesgo,Clahe,25.33,0.924,2.57
cf70a801_L_MLO_48d67e59.png,Alto_Riesgo,Clahe,24.22,0.921,3.25
cf70a801_L_CC_da860c7c.png,Alto_Riesgo,Clahe,25.16,0.951,2.48
cfd8cbfe_L_MLO_0171ab32.png,Alto_Riesgo,Clahe,27.26,0.961,1.93
cfd8cbfe_L_CC_b9e991c8.png,Alto_Riesgo,Clahe,28.75,0.957,1.33
d010dbb9_L_CC_2530e738.png,Alto_Riesgo,Clahe,28.63,0.956,1.34
d010dbb9_L_MLO_73d20cbf.png,Alto_Riesgo,Clahe,26.36,0.949,1.95
d0538008_R_CC_71e545fd.png,Alto_Riesgo,Clahe,28.31,0.964,1.6
d0538008_R_MLO_a9f3f9e0.png,Alto_Riesgo,Clahe,27.47,0.955,2.52
d06d1dcd_R_MLO_f50d5315.png,Alto_Riesgo,Clahe,28.93,0.956,2.1
d06d1dcd_R_CC_9edf7793.png,Alto_Riesgo,Clahe,29.45,0.965,1.42
d18ff521_R_CC_9cf1b84d.png,Alto_Riesgo,Clahe,30.81,0.961,0.91
d18ff521_R_MLO_73903959.png,Alto_Riesgo,Clahe,27.71,0.957,1.68
d2df9328_L_MLO_17127fbc.png,Alto_Riesgo,Clahe,27.56,0.944,2.32
d2df9328_L_CC_d3608e08.png,Alto_Riesgo,Clahe,26.98,0.954,1.87
d539fcf5_R_CC_59770d16.png,Alto_Riesgo,Clahe,27.47,0.964,2.14
d539fcf5_R_MLO_6fa17862.png,Alto_Riesgo,Clahe,23.67,0.929,3.45
d539fcf5_L_MLO_c8ea81f4.png,Alto_Riesgo,Clahe,24.36,0.928,3.19
d539fcf5_L_CC_e1f7f813.png,Alto_Riesgo,Clahe,27.14,0.956,1.96
d6c5932b_R_MLO_cac4e653.png,Alto_Riesgo,Clahe,27.02,0.961,2.19
d6c5932b_R_CC_7e279279.png,Alto_Riesgo,Clahe,27.85,0.962,1.69
d746c5e8_R_CC_01df962b.png,Alto_Riesgo,Clahe,27.85,0.965,2.2
d7554087_L_CC_f15e4d29.png,Alto_Riesgo,Clahe,23.21,0.93,2.99
d7554087_L_MLO_c1edef45.png,Alto_Riesgo,Clahe,22.18,0.93,3.76
d746c5e8_R_MLO_0c401b1b.png,Alto_Riesgo,Clahe,25.45,0.928,2.38
d8d0bc6e_R_MLO_53c092e6.png,Alto_Riesgo,Clahe,26.54,0.954,2.01
d8d0bc6e_R_CC_96eb9c4b.png,Alto_Riesgo,Clahe,28.24,0.962,1.69
d8d9c121_R_MLO_660d6f19.png,Alto_Riesgo,Clahe,25.72,0.943,2.07
d8d9c121_R_CC_a2ce545b.png,Alto_Riesgo,Clahe,28.17,0.948,1.31
da6ce640_R_CC_5a5b4728.png,Alto_Riesgo,Clahe,27.91,0.958,1.69
da6ce640_R_MLO_f60e4a6a.png,Alto_Riesgo,Clahe,26.33,0.939,2.53
dabe91ba_L_CC_0d08356a.png,Alto_Riesgo,Clahe,29.72,0.963,1.24
dabe91ba_L_MLO_185d7263.png,Alto_Riesgo,Clahe,26.79,0.953,1.83
dae4258d_R_CC_b2578026.png,Alto_Riesgo,Clahe,27.6,0.958,1.77
dae4258d_R_MLO_80ff81c8.png,Alto_Riesgo,Clahe,27.43,0.944,2.33
db3c5cf7_R_CC_de8b49de.png,Alto_Riesgo,Clahe,30.72,0.958,0.91
db3c5cf7_R_MLO_f3b7da5f.png,Alto_Riesgo,Clahe,26.77,0.953,2.05
dd6333df_L_MLO_bad7f350.png,Alto_Riesgo,Clahe,25.91,0.942,1.89
dd6333df_L_CC_9e8efd5d.png,Alto_Riesgo,Clahe,29.22,0.951,1.02
dd98abaf_R_CC_c8039851.png,Alto_Riesgo,Clahe,27.73,0.958,1.7
dd98abaf_R_MLO_57b04a19.png,Alto_Riesgo,Clahe,25.58,0.945,2.24
de585e55_R_CC_6ffb4582.png,Alto_Riesgo,Clahe,30.45,0.962,1.07
de585e55_R_MLO_27d9bf4e.png,Alto_Riesgo,Clahe,28.99,0.963,1.5
df7c81d4_L_MLO_7be2e5f9.png,Alto_Riesgo,Clahe,24.72,0.927,3.05
df7c81d4_L_CC_db70c657.png,Alto_Riesgo,Clahe,25.73,0.92,2.37
e22442ff_L_CC_467ef88a.png,Alto_Riesgo,Clahe,28.18,0.95,1.33
e22442ff_L_MLO_d360a682.png,Alto_Riesgo,Clahe,27.76,0.959,1.72
e233b75f_L_MLO_a869427e.png,Alto_Riesgo,Clahe,25.15,0.942,2.23
e233b75f_L_CC_8c799782.png,Alto_Riesgo,Clahe,27.39,0.953,1.64
e2fc4c70_L_CC_5c685c5c.png,Alto_Riesgo,Clahe,30.05,0.96,1.12
e2fc4c70_L_MLO_3576dec9.png,Alto_Riesgo,Clahe,26.6,0.948,1.84
e315902c_L_MLO_949f01bd.png,Alto_Riesgo,Clahe,27.63,0.956,1.73
e315902c_L_CC_a763d5df.png,Alto_Riesgo,Clahe,30.35,0.964,1.05
e39602b1_L_CC_15ad456e.png,Alto_Riesgo,Clahe,28.88,0.958,1.35
e39602b1_L_MLO_3c534882.png,Alto_Riesgo,Clahe,25.52,0.945,2.13
e40d99a6_R_CC_49ef5e81.png,Alto_Riesgo,Clahe,31.82,0.981,1.4
e480e873_R_CC_2a04163b.png,Alto_Riesgo,Clahe,28.48,0.953,1.22
e40d99a6_R_MLO_7106e773.png,Alto_Riesgo,Clahe,26.82,0.941,2.17
e49d8e95_L_CC_019b9f63.png,Alto_Riesgo,Clahe,29.15,0.959,1.22
e480e873_R_MLO_cc646314.png,Alto_Riesgo,Clahe,25.91,0.952,2.17
e49d8e95_L_MLO_c7c60c6a.png,Alto_Riesgo,Clahe,26.8,0.957,2.15
e4c3b57b_L_MLO_6caa0cd5.png,Alto_Riesgo,Clahe,25.85,0.92,2.59
e4c3b57b_L_CC_bce1addb.png,Alto_Riesgo,Clahe,26.42,0.948,1.97
e6a3e149_R_CC_c0e56a69.png,Alto_Riesgo,Clahe,28.12,0.959,1.55
e6f4f71e_L_CC_aca3b43e.png,Alto_Riesgo,Clahe,30.09,0.953,1.47
e6a3e149_R_MLO_de093899.png,Alto_Riesgo,Clahe,25.96,0.926,2.33
e6fec43f_L_CC_4b08c4f1.png,Alto_Riesgo,Clahe,29.51,0.966,1.49
e6f4f71e_L_MLO_deacf62d.png,Alto_Riesgo,Clahe,28.46,0.958,1.32
e9781ad8_R_MLO_15fc491b.png,Alto_Riesgo,Clahe,25.05,0.919,2.59
e9781ad8_R_CC_d9879334.png,Alto_Riesgo,Clahe,28.35,0.966,1.67
e6fec43f_L_MLO_c3ebb2a7.png,Alto_Riesgo,Clahe,26.9,0.935,2.21
e9be27a6_L_CC_20e22b55.png,Alto_Riesgo,Clahe,29.84,0.961,1.17
e9be27a6_L_MLO_df17a9f3.png,Alto_Riesgo,Clahe,26.73,0.949,1.83
c800df6e_L_MLO_44d35d15.png,Alto_Riesgo,Percentiles,23.08,0.922,1.81
c800df6e_L_CC_33755fea.png,Alto_Riesgo,Percentiles,24.25,0.925,1.38
c82df7b0_R_CC_3527d9a4.png,Alto_Riesgo,Percentiles,23.34,0.905,1.26
c82df7b0_R_MLO_437a5cf5.png,Alto_Riesgo,Percentiles,21.78,0.898,1.92
c8be7233_R_CC_0d58856b.png,Alto_Riesgo,Percentiles,20.65,0.824,0.97
c8be7233_R_MLO_c440e178.png,Alto_Riesgo,Percentiles,19.87,0.814,1.21
c947855a_R_CC_c2a17760.png,Alto_Riesgo,Percentiles,33.12,0.985,1.71
c9881e07_L_MLO_1bc0bb50.png,Alto_Riesgo,Percentiles,23.52,0.933,1.91
c947855a_R_MLO_862e22b0.png,Alto_Riesgo,Percentiles,20.43,0.871,2.92
c9881e07_L_CC_45b1879e.png,Alto_Riesgo,Percentiles,23.14,0.905,1.35
c9920022_L_CC_e2a9f68e.png,Alto_Riesgo,Percentiles,23.71,0.919,2.21
c9920022_L_MLO_8470557f.png,Alto_Riesgo,Percentiles,20.85,0.877,2.78
c9bf7a8a_R_CC_6db25afb.png,Alto_Riesgo,Percentiles,22.98,0.903,1.3
c9bf7a8a_R_MLO_b934cdb3.png,Alto_Riesgo,Percentiles,24.45,0.947,1.91
cae2f2ba_L_MLO_63f4053d.png,Alto_Riesgo,Percentiles,23.14,0.931,2.02
cae2f2ba_L_CC_8c91dd4b.png,Alto_Riesgo,Percentiles,26.97,0.971,1.43
cbc4bb64_L_CC_f51e0c5d.png,Alto_Riesgo,Percentiles,24.38,0.906,0.92
cbc4bb64_L_MLO_31573a03.png,Alto_Riesgo,Percentiles,23.51,0.915,1.36
cc608bc4_L_CC_08022073.png,Alto_Riesgo,Percentiles,34.37,0.967,0.94
cbefbe01_L_MLO_f978cb9d.png,Alto_Riesgo,Percentiles,23.02,0.916,2.59
cbefbe01_L_CC_6ec73d7e.png,Alto_Riesgo,Percentiles,25.24,0.935,2.09
cc764da4_R_MLO_472a2fe6.png,Alto_Riesgo,Percentiles,21.74,0.896,1.7
cc608bc4_L_MLO_389e63a5.png,Alto_Riesgo,Percentiles,28.56,0.966,1.28
cd03d5b7_L_CC_1d605d35.png,Alto_Riesgo,Percentiles,30.07,0.909,0.77
cc764da4_R_CC_4785b56f.png,Alto_Riesgo,Percentiles,24.88,0.914,0.92
cf399797_R_CC_67eba147.png,Alto_Riesgo,Percentiles,27.03,0.949,1.59
cd03d5b7_L_MLO_baf51168.png,Alto_Riesgo,Percentiles,35.04,0.982,1.17
cf399797_R_MLO_d91825b1.png,Alto_Riesgo,Percentiles,21.53,0.885,2.39
cf70a801_L_MLO_48d67e59.png,Alto_Riesgo,Percentiles,17.01,0.753,2.97
cf70a801_L_CC_da860c7c.png,Alto_Riesgo,Percentiles,30.0,0.98,2.25
cfd8cbfe_L_MLO_0171ab32.png,Alto_Riesgo,Percentiles,20.44,0.867,1.69
cfd8cbfe_L_CC_b9e991c8.png,Alto_Riesgo,Percentiles,21.03,0.849,1.2
d010dbb9_L_CC_2530e738.png,Alto_Riesgo,Percentiles,25.67,0.94,1.2
d010dbb9_L_MLO_73d20cbf.png,Alto_Riesgo,Percentiles,21.91,0.898,1.74
d0538008_R_CC_71e545fd.png,Alto_Riesgo,Percentiles,30.35,0.958,1.41
d0538008_R_MLO_a9f3f9e0.png,Alto_Riesgo,Percentiles,26.6,0.967,2.31
d06d1dcd_R_MLO_f50d5315.png,Alto_Riesgo,Percentiles,16.48,0.69,1.83
d06d1dcd_R_CC_9edf7793.png,Alto_Riesgo,Percentiles,25.63,0.941,1.28
d18ff521_R_CC_9cf1b84d.png,Alto_Riesgo,Percentiles,26.87,0.937,0.82
d18ff521_R_MLO_73903959.png,Alto_Riesgo,Percentiles,22.97,0.909,1.47
d2df9328_L_MLO_17127fbc.png,Alto_Riesgo,Percentiles,16.91,0.705,2.02
d2df9328_L_CC_d3608e08.png,Alto_Riesgo,Percentiles,22.93,0.915,1.68
d539fcf5_R_CC_59770d16.png,Alto_Riesgo,Percentiles,30.98,0.977,1.95
d539fcf5_R_MLO_6fa17862.png,Alto_Riesgo,Percentiles,20.97,0.898,3.19
d539fcf5_L_MLO_c8ea81f4.png,Alto_Riesgo,Percentiles,21.98,0.909,2.88
d539fcf5_L_CC_e1f7f813.png,Alto_Riesgo,Percentiles,31.1,0.977,1.77
d6c5932b_R_MLO_cac4e653.png,Alto_Riesgo,Percentiles,19.99,0.864,1.96
d6c5932b_R_CC_7e279279.png,Alto_Riesgo,Percentiles,20.53,0.862,1.53
d746c5e8_R_CC_01df962b.png,Alto_Riesgo,Percentiles,28.28,0.977,2.04
d7554087_L_CC_f15e4d29.png,Alto_Riesgo,Percentiles,25.95,0.967,2.73
d7554087_L_MLO_c1edef45.png,Alto_Riesgo,Percentiles,22.89,0.945,3.4
d746c5e8_R_MLO_0c401b1b.png,Alto_Riesgo,Percentiles,17.76,0.776,2.17
d8d0bc6e_R_MLO_53c092e6.png,Alto_Riesgo,Percentiles,22.94,0.92,1.79
d8d0bc6e_R_CC_96eb9c4b.png,Alto_Riesgo,Percentiles,25.27,0.946,1.53
d8d9c121_R_MLO_660d6f19.png,Alto_Riesgo,Percentiles,21.31,0.885,1.8
d8d9c121_R_CC_a2ce545b.png,Alto_Riesgo,Percentiles,23.26,0.896,1.18
da6ce640_R_CC_5a5b4728.png,Alto_Riesgo,Percentiles,25.11,0.942,1.52
da6ce640_R_MLO_f60e4a6a.png,Alto_Riesgo,Percentiles,17.41,0.749,2.26
dabe91ba_L_CC_0d08356a.png,Alto_Riesgo,Percentiles,24.5,0.923,1.13
dabe91ba_L_MLO_185d7263.png,Alto_Riesgo,Percentiles,22.11,0.899,1.64
dae4258d_R_CC_b2578026.png,Alto_Riesgo,Percentiles,24.81,0.941,1.6
dae4258d_R_MLO_80ff81c8.png,Alto_Riesgo,Percentiles,16.98,0.714,2.08
db3c5cf7_R_CC_de8b49de.png,Alto_Riesgo,Percentiles,24.87,0.907,0.82
db3c5cf7_R_MLO_f3b7da5f.png,Alto_Riesgo,Percentiles,21.9,0.895,1.82
dd6333df_L_MLO_bad7f350.png,Alto_Riesgo,Percentiles,20.42,0.859,1.67
dd6333df_L_CC_9e8efd5d.png,Alto_Riesgo,Percentiles,23.02,0.884,0.92
dd98abaf_R_CC_c8039851.png,Alto_Riesgo,Percentiles,24.25,0.932,1.54
dd98abaf_R_MLO_57b04a19.png,Alto_Riesgo,Percentiles,22.49,0.914,2.01
de585e55_R_CC_6ffb4582.png,Alto_Riesgo,Percentiles,27.29,0.947,0.96
de585e55_R_MLO_27d9bf4e.png,Alto_Riesgo,Percentiles,24.12,0.925,1.35
df7c81d4_L_MLO_7be2e5f9.png,Alto_Riesgo,Percentiles,24.92,0.948,2.82
df7c81d4_L_CC_db70c657.png,Alto_Riesgo,Percentiles,28.31,0.968,2.17
e22442ff_L_CC_467ef88a.png,Alto_Riesgo,Percentiles,22.87,0.893,1.21
e22442ff_L_MLO_d360a682.png,Alto_Riesgo,Percentiles,22.91,0.91,1.55
e233b75f_L_MLO_a869427e.png,Alto_Riesgo,Percentiles,22.52,0.918,1.99
e233b75f_L_CC_8c799782.png,Alto_Riesgo,Percentiles,23.76,0.923,1.49
e2fc4c70_L_CC_5c685c5c.png,Alto_Riesgo,Percentiles,25.82,0.933,1.02
e2fc4c70_L_MLO_3576dec9.png,Alto_Riesgo,Percentiles,23.32,0.918,1.64
e315902c_L_MLO_949f01bd.png,Alto_Riesgo,Percentiles,22.18,0.893,1.54
e315902c_L_CC_a763d5df.png,Alto_Riesgo,Percentiles,24.61,0.918,0.97
e39602b1_L_CC_15ad456e.png,Alto_Riesgo,Percentiles,24.55,0.923,1.22
e39602b1_L_MLO_3c534882.png,Alto_Riesgo,Percentiles,22.31,0.911,1.87
e40d99a6_R_CC_49ef5e81.png,Alto_Riesgo,Percentiles,32.6,0.973,1.24
e480e873_R_CC_2a04163b.png,Alto_Riesgo,Percentiles,24.14,0.913,1.1
e40d99a6_R_MLO_7106e773.png,Alto_Riesgo,Percentiles,25.86,0.955,1.91
e49d8e95_L_CC_019b9f63.png,Alto_Riesgo,Percentiles,25.28,0.932,1.12
e480e873_R_MLO_cc646314.png,Alto_Riesgo,Percentiles,21.24,0.897,1.96
e49d8e95_L_MLO_c7c60c6a.png,Alto_Riesgo,Percentiles,22.3,0.909,1.89
e4c3b57b_L_MLO_6caa0cd5.png,Alto_Riesgo,Percentiles,19.89,0.811,2.42
e4c3b57b_L_CC_bce1addb.png,Alto_Riesgo,Percentiles,30.35,0.982,1.81
e6a3e149_R_CC_c0e56a69.png,Alto_Riesgo,Percentiles,31.34,0.973,1.42
e6f4f71e_L_CC_aca3b43e.png,Alto_Riesgo,Percentiles,22.65,0.892,1.31
e6a3e149_R_MLO_de093899.png,Alto_Riesgo,Percentiles,24.97,0.94,2.15
e6fec43f_L_CC_4b08c4f1.png,Alto_Riesgo,Percentiles,32.65,0.976,1.37
e6f4f71e_L_MLO_deacf62d.png,Alto_Riesgo,Percentiles,22.62,0.891,1.18
